Location_ID,Location_Name,Location_Setting,Location_Description,County,Coordinate_System,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees,Horizontal_Coordinates_Represent,Horizontal_Datum,Horizontal_Coordinate_Accuracy,Horizontal_Coordinate_Collection_Method,Paper_Map_Scale
"MalCh","Columbia River, Malaga, Chelan","Lake/Pond/Reservoir","Columbia River, Malaga, Chelan","Chelan","LAT/LONG","47.374993","-120.200605","99","1","99","13","1"
"MalKi","Mallard Lake, King","Lake/Pond/Reservoir","Mallard Lake, King","King","LAT/LONG","47.509651","-122.350863","99","1","99","13","1"
"MarGr","Potholes, Mardon Park, Grant","Lake/Pond/Reservoir","Potholes, Mardon Park, Grant","Grant","LAT/LONG","46.966750","-119.324544","99","1","99","13","1"
"MarKi","Martha John Creek, Kitsap","Lake/Pond/Reservoir","Martha John Creek, Kitsap","Kitsap","LAT/LONG","47.823120","-122.564390","99","1","99","13","1"
"MarKi","Lake Marcel, King","Lake/Pond/Reservoir","Lake Marcel, King","King","LAT/LONG","47.694967","-121.916775","99","1","99","13","1"
"MARKi","Marina Park Beach, King","Lake/Pond/Reservoir","Marina Park Beach, King","King","LAT/LONG","47.675236","-122.208340","99","1","99","13","1"
"MarKi","Margaret Lake, King","Lake/Pond/Reservoir","Margaret Lake, King","King","LAT/LONG","","","99","1","99","13","1"
"MarSn","Martha Lake N, Snohomish","Lake/Pond/Reservoir","Martha Lake N, Snohomish","Snohomish","LAT/LONG","48.167630","-122.338530","99","1","99","13","1"
"MasMa","Mason Lake, Mason","Lake/Pond/Reservoir","Mason Lake, Mason","Mason","LAT/LONG","47.336000","-122.958000","99","1","99","13","1"
"MayPi","Mayo Creek, Pierce","Lake/Pond/Reservoir","Mayo Creek, Pierce","Pierce","LAT/LONG","47.256536","-122.755843","99","1","99","13","1"
"MayPi","Mayo Cove, Pierce","Lake/Pond/Reservoir","Mayo Cove, Pierce","Pierce","LAT/LONG","47.250536","-122.752790","99","1","99","13","1"
"McDKi","Lake McDonald, King","Lake/Pond/Reservoir","Lake McDonald, King","King","LAT/LONG","47.471618","-122.077163","99","1","99","13","1"
"McITh","McIntosh Lake, Thurston","Lake/Pond/Reservoir","McIntosh Lake, Thurston","Thurston","LAT/LONG","46.866913","-122.766494","99","1","99","13","1"
"McMSk","Lake McMurray, Skagit","Lake/Pond/Reservoir","Lake McMurray, Skagit","Skagit","LAT/LONG","48.316082","-122.227445","99","1","99","13","1"
"MedGr","Potholes, Medicine 1, Grant","Lake/Pond/Reservoir","Potholes, Medicine 1, Grant","Grant","LAT/LONG","46.992554","-119.271248","99","1","99","13","1"
"MedKi","Medina Park North Pond, King","Lake/Pond/Reservoir","Medina Park North Pond, King","King","LAT/LONG","47.620665","-122.231084","99","1","99","13","1"
"MedSp","Medical Lake, Spokane","Lake/Pond/Reservoir","Medical Lake, Spokane","Spokane","LAT/LONG","47.570378","-117.688363","99","1","99","13","1"
"MilJe","Miller's Pond, Jefferson","Lake/Pond/Reservoir","Miller's Pond, Jefferson","Jefferson","LAT/LONG","","","99","1","99","13","1"
"MisKi","Mission Lake, Kitsap","Lake/Pond/Reservoir","Mission Lake, Kitsap","Kitsap","LAT/LONG","47.532946","-122.826349","99","1","99","13","1"
"MonGr","Moses Lake, Montlake, Grant","Lake/Pond/Reservoir","Moses Lake, Montlake, Grant","Grant","LAT/LONG","47.108583","-119.284853","99","1","99","13","1"
"MorKi","Lake Morton, King","Lake/Pond/Reservoir","Lake Morton, King","King","LAT/LONG","47.323983","-122.084061","99","1","99","13","1"
"MorPi","Morey Creek, Pierce","Lake/Pond/Reservoir","Morey Creek, Pierce","Pierce","LAT/LONG","47.120979","-122.446629","99","1","99","13","1"
"MosGr","Moses Lake, Grant","Lake/Pond/Reservoir","Moses Lake, Grant","Grant","LAT/LONG","47.136771","-119.342102","99","1","99","13","1"
"MosGr","Moses Lake South, Grant","Lake/Pond/Reservoir","Moses Lake South, Grant","Grant","LAT/LONG","47.063465","-119.322906","99","1","99","13","1"
"MunTh","Munn Lake, Thurston County","Lake/Pond/Reservoir","Munn Lake, Thurston County","Thurston County","LAT/LONG","46.985028","-122.879393","99","1","99","13","1"
"NahMa","Nahwatzel Lake, Mason","Lake/Pond/Reservoir","Nahwatzel Lake, Mason","Mason","LAT/LONG","","","99","1","99","13","1"
"NEECL","LAKE NEED, CLARK","Lake/Pond/Reservoir","LAKE NEED, CLARK","CLARK","LAT/LONG","","","99","1","99","13","1"
"NewSp","Newman Lake, Spokane","Lake/Pond/Reservoir","Newman Lake, Spokane","Spokane","LAT/LONG","47.777189","-117.100543","99","1","99","13","1"
"NorFe","North Twin Lake, Ferry","Lake/Pond/Reservoir","North Twin Lake, Ferry","Ferry","LAT/LONG","48.287705","-118.380789","99","1","99","13","1"
"NorKi","North Lake, Kitsap","Lake/Pond/Reservoir","North Lake, Kitsap","Kitsap","LAT/LONG","47.498258","-122.689863","99","1","99","13","1"
"NorKi","North Lake, King","Lake/Pond/Reservoir","North Lake, King","King","LAT/LONG","47.306590","-122.288900","99","1","99","13","1"
"NorPi","Northshore PArkway Apartment Ponds, Pierce","Lake/Pond/Reservoir","Northshore PArkway Apartment Ponds, Pierce","Pierce","LAT/LONG","47.298858","-122.389718","99","1","99","13","1"
"O'SGr","Potholes, O'Sullivan, Grant","Lake/Pond/Reservoir","Potholes, O'Sullivan, Grant","Grant","LAT/LONG","46.997231","-119.282249","99","1","99","13","1"
"O71Ki","Lake Wilderness Beach, King","Lake/Pond/Reservoir","Lake Wilderness Beach, King","King","LAT/LONG","47.376946","-122.038853","99","1","99","13","1"
"OffTh","Offutt Lake, Thurston","Lake/Pond/Reservoir","Offutt Lake, Thurston","Thurston","LAT/LONG","46.916570","-122.828530","99","1","99","13","1"
"OhoPi","Ohop Lake, Pierce","Lake/Pond/Reservoir","Ohop Lake, Pierce","Pierce","LAT/LONG","46.898068","-122.276993","99","1","99","13","1"
"OttSp","Otter Lake, Spokane","Lake/Pond/Reservoir","Otter Lake, Spokane","Spokane","LAT/LONG","47.555200","-117.680120","99","1","99","13","1"
"OwhOk","Owhi Lake, Okanogan","Lake/Pond/Reservoir","Owhi Lake, Okanogan","Okanogan","LAT/LONG","48.232991","-118.898797","99","1","99","13","1"
"PacKi","Pacific Science Center, King","Lake/Pond/Reservoir","Pacific Science Center, King","King","LAT/LONG","","","99","1","99","13","1"
"PadWh","Lake Padden, Whatcom","Lake/Pond/Reservoir","Lake Padden, Whatcom","Whatcom","LAT/LONG","48.702904","-122.453363","99","1","99","13","1"
"PalPi","Palmer Lake, Pierce","Lake/Pond/Reservoir","Palmer Lake, Pierce","Pierce","LAT/LONG","47.237668","-122.796654","99","1","99","13","1"
"PalWh","Palouse River, Whitman","Lake/Pond/Reservoir","Palouse River, Whitman","Whitman","LAT/LONG","46.897253","-117.356687","99","1","99","13","1"
"PanSn","Panther Lake, Snohomish","Lake/Pond/Reservoir","Panther Lake, Snohomish","Snohomish","LAT/LONG","47.948799","-122.005730","99","1","99","13","1"
"ParPi","Parklank Well, Pierce","Lake/Pond/Reservoir","Parklank Well, Pierce","Pierce","LAT/LONG","47.142217","-122.460126","99","1","99","13","1"
"PasSk","Pass Lake, Skagit","Lake/Pond/Reservoir","Pass Lake, Skagit","Skagit","LAT/LONG","48.420120","-122.635960","99","1","99","13","1"
"PatDo","Lake Pateros, Douglas","Lake/Pond/Reservoir","Lake Pateros, Douglas","Douglas","LAT/LONG","48.091600","-119.759970","99","1","99","13","1"
"PatOk","Patterson Lake, Okanogan","Lake/Pond/Reservoir","Patterson Lake, Okanogan","Okanogan","LAT/LONG","48.304168","-119.495266","99","1","99","13","1"
"PatTh","Pattison Lake, Thurston","Lake/Pond/Reservoir","Pattison Lake, Thurston","Thurston","LAT/LONG","46.995272","-122.777507","99","1","99","13","1"
"PeaOk","Pearrygin Lake, Okanogan","Lake/Pond/Reservoir","Pearrygin Lake, Okanogan","Okanogan","LAT/LONG","48.486780","-120.150356","99","1","99","13","1"
"PebKi","Pebble Pond, Kitsap","Lake/Pond/Reservoir","Pebble Pond, Kitsap","Kitsap","LAT/LONG","47.740770","-122.552666","99","1","99","13","1"
"PhaKi","Phantom Lake, King","Lake/Pond/Reservoir","Phantom Lake, King","King","LAT/LONG","47.593301","-122.124654","99","1","99","13","1"
"PinKi","Pine Lake, King","Lake/Pond/Reservoir","Pine Lake, King","King","LAT/LONG","47.587651","-122.044850","99","1","99","13","1"
"PioPi","Pioneer Place, Pierce","Lake/Pond/Reservoir","Pioneer Place, Pierce","Pierce","LAT/LONG","","","99","1","99","13","1"
"PleCl","Lake Pleasant, Clallam","Lake/Pond/Reservoir","Lake Pleasant, Clallam","Clallam","LAT/LONG","48.067500","-124.327500","99","1","99","13","1"
"PotGr","Potholes #4, Grant","Lake/Pond/Reservoir","Potholes #4, Grant","Grant","LAT/LONG","","","99","1","99","13","1"
"PotGr","Potholes #5, Grant","Lake/Pond/Reservoir","Potholes #5, Grant","Grant","LAT/LONG","","","99","1","99","13","1"
"PotGr","Potholes #2, Grant","Lake/Pond/Reservoir","Potholes #2, Grant","Grant","LAT/LONG","46.985058","-119.241104","99","1","99","13","1"
"PotGr","Potholes Reservoir, Grant","Lake/Pond/Reservoir","Potholes Reservoir, Grant","Grant","LAT/LONG","47.012582","-119.343628","99","1","99","13","1"
"PriTh","Private Pond, Thurston","Lake/Pond/Reservoir","Private Pond, Thurston","Thurston","LAT/LONG","","","99","1","99","13","1"
"QuiKi","Quilomene Cove, Kittitas","Lake/Pond/Reservoir","Quilomene Cove, Kittitas","Kittitas","LAT/LONG","47.112791","-120.027206","99","1","99","13","1"
"RapPi","Rapjohn Lake, Pierce","Lake/Pond/Reservoir","Rapjohn Lake, Pierce","Pierce","LAT/LONG","46.905341","-122.342291","99","1","99","13","1"
"RefSp","Reflection Lake, Spokane","Lake/Pond/Reservoir","Reflection Lake, Spokane","Spokane","LAT/LONG","47.997406","-117.284524","99","1","99","13","1"
"RoeSn","Lake Roesiger, Snohomish","Lake/Pond/Reservoir","Lake Roesiger, Snohomish","Snohomish","LAT/LONG","47.987219","-121.920798","99","1","99","13","1"
"RooOk","Lake Roosevelt, Okanogan","Lake/Pond/Reservoir","Lake Roosevelt, Okanogan","Okanogan","LAT/LONG","","","99","1","99","13","1"
"RouCl","Round Lake, Clark","Lake/Pond/Reservoir","Round Lake, Clark","Clark","LAT/LONG","45.730463","-122.749907","99","1","99","13","1"
"RowKl","Rowland Lake, Klickitat","Lake/Pond/Reservoir","Rowland Lake, Klickitat","Klickitat","LAT/LONG","45.708484","-121.381188","99","1","99","13","1"
"RufDo","Rufus Woods Lake, Douglas","Lake/Pond/Reservoir","Rufus Woods Lake, Douglas","Douglas","LAT/LONG","48.039100","-119.562000","99","1","99","13","1"
"SacCo","Lake Sacajawea, Cowlitz","Lake/Pond/Reservoir","Lake Sacajawea, Cowlitz","Cowlitz","LAT/LONG","","","99","1","99","13","1"
"SAMKi","Sammamish Landing Beach, King","Lake/Pond/Reservoir","Sammamish Landing Beach, King","King","LAT/LONG","47.648590","-122.688430","99","1","99","13","1"
"SamKi","Lake Sammamish, King","Lake/Pond/Reservoir","Lake Sammamish, King","King","LAT/LONG","47.602343","-122.088675","99","1","99","13","1"
"SanJe","Sandy Shore Lake, Jefferson","Lake/Pond/Reservoir","Sandy Shore Lake, Jefferson","Jefferson","LAT/LONG","47.890813","-122.767618","99","1","99","13","1"
"SawKi","Lake Sawyer, King","Lake/Pond/Reservoir","Lake Sawyer, King","King","LAT/LONG","47.333289","-122.037608","99","1","99","13","1"
"SBAKi","East Beach Green Lake, King","Lake/Pond/Reservoir","East Beach Green Lake, King","King","LAT/LONG","47.680183","-122.329674","99","1","99","13","1"
"ScoFr","Scootney Reservoir, Franklin","Lake/Pond/Reservoir","Scootney Reservoir, Franklin","Franklin","LAT/LONG","46.704229","-119.028191","99","1","99","13","1"
"ScoTh","Scott Lake, Thurston","Lake/Pond/Reservoir","Scott Lake, Thurston","Thurston","LAT/LONG","46.919030","-122.931858","99","1","99","13","1"
"SD0Ki","Madrona Beach, King","Lake/Pond/Reservoir","Madrona Beach, King","King","LAT/LONG","47.608958","-122.281373","99","1","99","13","1"
"SD0Ki","Luther Burbank Beach, King","Lake/Pond/Reservoir","Luther Burbank Beach, King","King","LAT/LONG","47.588040","-122.223017","99","1","99","13","1"
"ShaKi","Shadow Lake, King","Lake/Pond/Reservoir","Shadow Lake, King","King","LAT/LONG","47.405695","-122.086397","99","1","99","13","1"
